Filename	BPM	MusicStyle	Voice	Instrumental	Arousal	Valence	Danceability	Global_Tempo
audio/ChainSplendour2.mp3	99.15422058	Electronic---Ambient	0.8000944853	0.1841147393	0.4269864559	0.1478637308	0.9898263812	75
audio/ButterflyLullaby.mp3	114.4106674	"Folk	 World	 & Country---Folk"	0.2262093425	0.7718777061	0.003539405763	0.01751346327	0.3414019048	91
audio/NovaZemja.mp3	184.5703278	"Folk	 World	 & Country---Folk"	0.6282852888	0.3901792467	0.1098500192	0.3567647636	0.23953107	156
audio/DevilExitFromFashion.mp3	114.5667038	Rock---Surf	0.4809519649	0.5062131286	0.2389392555	0.03105889447	0.4421572387	115
audio/ComingHomePtIii.mp3	122.2519836	"Folk	 World	 & Country---Folk"	0.4498328269	0.5476565361	0.01064337604	0.06195593625	0.2917904556	92
audio/SphericalHeartsTrondheimRemix.mp3	166.7086639	Rock---Indie Rock	0.4311403036	0.567070961	0.1541331261	0.04438012838	0.7088370323	84
audio/ThirdChristmasSong.mp3	128.4315948	Electronic---Experimental	0.8852782845	0.106689781	0.03228339553	0.07883787155	0.02555732429	151
audio/Drunkencpu.mp3	112.901947	Hip Hop---Gangsta	0.4478610754	0.4792435169	0.2057368308	0.03569641709	1	113
audio/ArgonautIntoDeepSpaceSfiRemix.mp3	83.1627655	Electronic---Experimental	0.1234829649	0.8748224378	0.3014082015	0.03057672083	0.6419911385	140
audio/ThisLoveIsFauxRealRawMix.mp3	86.13648987	Electronic---Experimental	0.9541134238	0.031785395	0.04820340872	0.5481897593	0.36175704	86
audio/BeforeTheMarch.mp3	151.6042633	Latin---Forró	0.4621538818	0.5207414627	0.05514368787	0.1244586483	0.3183645308	112
audio/NoVocalTrack.mp3	165.2878571	"Folk	 World	 & Country---Folk"	0.1516512036	0.8403303623	0.05182418227	0.007476123516	0.1526968181	104
audio/Shanti.mp3	90.48672485	Electronic---Experimental	0.6334797144	0.3491663039	0.0651678443	0.296747297	0.7023617029	92
audio/TheDreamRoom.mp3	110.2334442	Electronic---Ambient	0.9280769825	0.07317127287	0.04838006198	0.01703358628	0.3467040062	83
audio/LastBreathBeforeDeath.mp3	143.9664307	Electronic---Experimental	0.1905975044	0.7783219814	0.03108434938	0.001505905297	0.9999794364	108
audio/CharcoalLines.mp3	82.5655899	"Folk	 World	 & Country---Folk"	0.8533445597	0.1286444813	0.01656488143	0.05013490841	0.2178711444	84
